Transformation,Parameter,EER (%),Accuracy (%),Robustness Score,Score Drift,Label Flip Rate (%)
Additive Noise,25.0,56.0,44.0,0.53,0.031,44.0
Additive Noise,15.0,49.0,51.0,0.614,0.031,45.0
Additive Noise,10.0,50.0,50.0,0.602,0.095,42.0
Additive Noise,5.0,54.0,46.0,0.554,0.113,36.0
Additive Noise,0.0,55.0,45.0,0.542,0.113,35.0
Additive Noise,-5.0,55.0,45.0,0.542,0.113,35.0
Codec Compression,8,57.0,43.0,0.518,0.032,47.0
Codec Compression,6,63.0,42.0,0.506,0.032,62.0
Codec Compression,4,56.0,44.0,0.53,0.03,46.0
Codec Compression,3,62.0,38.0,0.458,0.029,44.0
Codec Compression,2,60.0,40.0,0.482,0.03,56.0
Resampling,16000,41.0,59.0,0.711,0.018,45.0
Resampling,12000,40.0,60.0,0.723,0.019,46.0
Resampling,8000,41.0,59.0,0.711,0.023,45.0
Resampling,6000,51.0,49.0,0.59,0.027,47.0
Volume Scaling,-18.0,14.0,83.0,1.0,0.002,49.0
Volume Scaling,-12.0,15.0,82.0,0.988,0.002,48.0
Volume Scaling,-6.0,14.0,83.0,1.0,0.002,49.0
Volume Scaling,0.0,14.0,83.0,1.0,0.0,49.0
Volume Scaling,6.0,14.0,83.0,1.0,0.002,49.0
Volume Scaling,12.0,46.0,54.0,0.651,0.033,52.0
Reverberation,50.0,35.0,65.0,0.783,0.015,47.0
Reverberation,150.0,46.0,54.0,0.651,0.022,50.0
Reverberation,300.0,54.0,46.0,0.554,0.025,46.0
Reverberation,600.0,52.0,48.0,0.578,0.029,50.0
Amplitude Clipping,1.0,14.0,83.0,1.0,0.0,49.0
Amplitude Clipping,0.8,14.0,83.0,1.0,0.002,49.0
Amplitude Clipping,0.5,14.0,83.0,1.0,0.0,49.0
Amplitude Clipping,0.3,47.0,53.0,0.639,0.033,47.0
Amplitude Clipping,0.15,49.0,51.0,0.614,0.032,51.0
Spectral Notch,1000.0,14.0,83.0,1.0,0.002,49.0
Spectral Notch,2000.0,15.0,82.0,0.988,0.002,48.0
Spectral Notch,3000.0,16.0,84.0,1.0,0.002,44.0
Spectral Notch,4000.0,14.0,86.0,1.0,0.002,46.0
Spectral Notch,5000.0,14.0,83.0,1.0,0.002,49.0
Time Dropouts,0.0,14.0,83.0,1.0,0.0,49.0
Time Dropouts,5.0,18.0,79.0,0.952,0.01,49.0
Time Dropouts,10.0,18.0,78.0,0.94,0.017,50.0
Time Dropouts,15.0,25.0,75.0,0.904,0.022,45.0
Time Dropouts,25.0,31.0,69.0,0.831,0.03,45.0
